ID,Portfolio,Programme,x2005_06,x2006_07,x2007_08,x2008_09,x2009_10,x2010_11,x2011_12,x2012_13,x2013_14,x2014_15,EstimatedActual2015_16,BudgetEstimate2016_17,Status,AllocationMethod,Socio_EconomicObjective,Sector,Appropriation,About,Notes,Group1,Group2,BudgetEstimate2015_16_m,SRIBT_ID
165,"Foreign Affairs and Trade","Australian Centre for International Agricultural Research (ACIAR)",46.407,51.306,56.837,56.069,72.845,88.314,97.479,104.734,99.19,101.153,94.133,105.141,Active,Targeted,"08. Agriculture",Aust. Govt. (Other R&D),Annual,"ACIAR works in Australia’s national interest by contributing to economic growth and poverty reduction in the Indo-Pacific region. ACIAR continues to improve the productivity, sustainability and profitability of agricultural systems, through international agricultural research and training partnerships and the empowerment of women and girls.",NaN,.,".",100.12,1516148
166,"Foreign Affairs and Trade","ARC Linkage Grant - Protecting the Australian Passport",0,0,0,0,0,0,0,0,0.1,0.1,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516149
167,"Foreign Affairs and Trade","DFAT Aid Research and Development",15.6704,23.18036,43.249269,63.545088,73.540439,110.343072,108.693657,76.818,79.315,61.543,36.78,0,Active,Targeted,"11. Political and social systems, structures and processes",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516150
168,"Health","Australian Radiation Protection and Nuclear Safety Agency (ARPANSA) - Radiation in Health Care - Safe and Better Use",0,0,2.1,4.3,2,2,2,1.942,1.93,1.899,1.828,1.722,Active,Targeted,"07. Health",Aust. Govt. (Other R&D),Annual,"To enhance the safe and effective use of radiotherapy and diagnostic imagining.",NaN,.,".",1.828,1516151
169,"Health","Australian Sports Commission (ASC) Research Programs - Intramural",0,0,0,0,1.789,2.217,2.098,2.998,1.846,2.451,2.641,3.13,Active,Targeted,"07. Health",Aust. Govt. (Other R&D),Annual,"The ASC's intramural research programs focus on increasing the capacity for relevant research across the Sports Science Sports Medicine departments of the AIS.  This includes undertaking ‘in-house’ research, negotiating with potential collaborators and funding agencies and coordinating post graduate scholarships which aim to progress Australia’s next generation of sports scientists.",NaN,.,".",2.641,1516152
170,"Health","National Acoustic Laboratories",0,0,0,0,0,0,0,4.099,4.18,4.27,4.334,4.448,Active,Targeted,"07. Health",Aust. Govt. (Other R&D),Annual,"The National Acoustic Laboratories is the research division of Australian Hearing, a Statutory Authority under the Commonwealth Department of Human Services (DHS).",NaN,.,".",4.334,1516153
171,"Health","Medicines Post-Marketing Surveillance Using the 45 and Up Study and Services Linked Datasets",0,0,0,0,0,0,0,0,0,0,0.07,0.04,Active,Targeted,"07. Health",Aust. Govt. (Other R&D),Special,"The purpose of this study is to validate a particular dataset and methodology for population-level research to improve the health and safety of the Australian population.",NaN,.,".",0,1617013
172,"Health","NHMRC Research Grants",424.555,471.693,560.731,699.257,707.068,754.184,811.811,763.026,863.417,904.508,845.78,840.503,Active,Competitive,"07. Health",Multi-sector (NHMRC),Annual,"Payments made from NHMRC's Medical Research Endowment Account, supporting Health and Medical Research in Australian universities, research institutions, hospitals and other institutions.",NaN,.,".",845.78,1516154
173,"Health","45+ Study",0,0,0,0,0,0,0,0,0,0.055,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516155
174,"Health","Aboriginal and Torres Strait Islander Health Research Special Initiative",0,0,0,0,0,0,0,0,0,3.41,0,0,Active,. . . . .,"07. Health",Multi-sector (Other Health),Annual,"The project is being undertaken in three stages and overseen by a joint Food Regulation Standing Committee (FRSC) and Australian Health Ministers’ Advisory Council (AHMAC) Working Group.",NaN,.,".",0,1617014
175,"Health","Adult Stem Cell Research Centre",0,5,5,5,5,0,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516156
176,"Health","Anti-doping Research Program (ADRP)",0.5,0.6,1.2,1.3,0.8,0.7,0.736,0.794,1.002,0,0,0,. . . . .,. . . . .,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516157
177,"Health","Australian Burden of Disease Study",0,0,0,0,0,0,0,0.25,2.3,2.6,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516158
178,"Health","Australian Longitudinal Study on Male Health",0,0,0,0,0,1.7,2.1,3.088,1.3,1.4,2.2,1,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"This is a longitudinal study examining the social, economic, environmental and behavioural factors of Australian males aged 10-55 years.",NaN,.,".",2.2,1516159
179,"Health","Australian Longitudinal Study on Women's Health",1.4,1.4,1.4,1.4,1.339,2.359,3.129,3.605,2.677,2.92108,1.22,2.3,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"This is a longitudinal study assessing the physical and mental health of over 58,000 Australian women.",NaN,.,".",1.22,1516160
180,"Health","Australian National Preventive Health Agency Research Fund",0,0,0,0,0,0,4.675,7.097,4.894,1.33147112,0.939,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0.939,1516161
181,"Health","Australian Sports Commission (ASC) Research Programs - Extramural",0,0,0,0,0,0,0,0,0.411,1.57,1.555,1.411,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"The ASC's extramural research programs enable national sporting organisations and universities to undertake and benefit from innovative and applied research work. This type of activity leads to performance and equipment enhancements that contribute to the success of Australian athletes and teams in Olympic, Paralympic and World Champion level competitions. The outcomes from this research have cross sport and cross industry applications.",NaN,.,".",1.555,1516162
182,"Health","Bettering the Evaluation and Care of Health - BEACH",0,0,0,0,0,0,0.3,0.315,0.33,0.345,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516163
183,"Health","Biomedical Translation Fund ",0,0,0,0,0,0,0,0,0,0,125,125,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Announced as part of the National Innovation and Science Agenda, the Biomedical Translation Fund is a for-profit, equity co-investment venture capital program which will establish licensed venture capital funds to invest in and support the development and commercialisation of Australian biomedical discoveries. The Commonwealth will invest $250 million over two years, 2015-16 and 2016-17, to be at least matched by private sector funding, effectively providing $500 million for investment into biomedical start-ups to translate promising biomedical discoveries into tangible products and better long term health and economic outcomes.",NaN,.,"National Innovation and Science Agenda",0,1617015
184,"Health","Cancer data to improve cancer care",0,0,0,0,0.393,0.335,0.399,0.407,0.612,0.608,0.603,0.6,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Cancer Australia is working towards developing a single national framework to monitor and report on cancer control across the spectrum of cancer control in Australia and is working to address the recognised lack of national data on the stage, treatment and recurrence of cancer.",NaN,Cancer Australia programme,".",0.603,1516164
185,"Health","Chronic Disease Prevention and Service Improvement Fund",0,5,5,5,5.9,0.858,0.77,0.25,0.25,0.25,0.25,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516165
186,"Health","Cooperative Research Centre for Aboriginal and Torres Strait Islander Health",0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516166
187,"Health","Disease Prevention and Health Promotion in Medicare Locals Programme",0,0,0,0,0,0,0,1.804,2.028,0.654,0,0,. . . . .,. . . . .,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516167
188,"Health","Drug and Alcohol Research",0,0,0,0,0,0,5.894,4.465,9.585,9.495,7.808,12.718,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Funding provided to a number of organisations to undertake research aimed at:
- Increasing the evidence-base for specialist alcohol other drug treatment;
- Informing the development of the National Drug Strategy and other national policy relating to alcohol and other drug use;
- Estimating prevalence rates of alcohol other drug use, treatment and associated harms;
- Providing data on the utilisation of government funded treatment service and opioid pharmacotherapies;
- Increasing knowledge on behavioural and drug use patterns of frequent drug users; and
- Increasing awareness of drug and alcohol misuse in school-aged populations:
- Providing evidence on specific topics such as co-morbid mental health and substance misuse, Indigenous drug and alcohol use and harms, drug and alcohol workforce innovations and best-practices;
- Providing data on emerging trends in drug and alcohol usage and harms;
- Conducting research to inform emerging government priorities in drug and alcohol research; and
- Contributing to Australia’s input to international organisations and committees on alcohol and other drug related matters.",NaN,.,".",7.808,1516168
189,"Health","Health Surveillance Fund - Research Centres",8.201,8.229,8.525,8.828,9.022,9.175,9.331,9.5,9.47,9.725,9.505,8.738,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Blood Borne Viruses (BBV) and Sexually Transmissible Infection (STI) research, surveillance, data collection and analysis to inform jurisdictional and national policy and resulting programs.",NaN,.,".",9.505,1516170
190,"Health","Improving lung cancer outcomes",0,0,0,0,0,0.547,0.297,0,0.452,0.22,0.5,0.5,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Through the Improving Lung Cancer Outcomes program, national research grants in identified priority areas are funded to improve outcomes for Australian’s affected by Lung Cancer.
The grants are administered through Cancer Australia’s Priority-driven Collaborative Cancer Research Scheme.",NaN,Cancer Australia programme,".",0.5,1516171
191,"Health","Indigenous Public Health Workforce Capacity Building Project, University of Melbourne (ONEMDA) and Deakin University Institute of Koori Education",0.47,0.48,0.49,0.5,0.567,0.485,0.505,0.267,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516172
192,"Health","Investing in Hearing Research",0,0,0.454,1.088,2.964,1.132,0.313,0.115,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516173
193,"Health","Jigsaw Foundation - Support for craniofacial surgery",0,0,0,0,0,1.25,1.25,1.25,1.25,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516174
194,"Health","Juvenile Diabetes Research Foundation - Australian Type 1 Diabetes Clinical Research Network",0,0,0,0,0,5,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516175
195,"Health","Maintaining support for women with gynaecological cancers",0,0,0,0,0,0,0,0,1.189,1.016,1.1,0.6,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"This activity funds gynaecological cancer research projects through the Priority-driven Collaborative Cancer Research Scheme (PdCCRS). The PdCCRS is an annual, competitive, national research project grants scheme which funds cancer research in identified priority areas to help reduce the impact of cancer in the community and improve outcomes for people affected by cancer. The program aims to fund applied cancer research projects that directly relate to identified priorities in gynaecological cancers and fund research that can directly improve cancer outcomes by influencing clinical practice, policy and/or care.",NaN,Cancer Australia programme,".",0.6,1516176
196,"Health","Medical Research Future Fund ",0,0,0,0,0,0,0,0,0,0,0,60.9,Active,. . . . .,"07. Health",Multi-sector (Other Health),Annual,"As part of the 2014-15 Budget, the Australian Government announced the establishment of the $20 billion Medical Research Future Fund (MRFF) to provide grants of financial assistance to support health and medical research and innovation, with the objective of improving the health and wellbeing of Australians. The MRFF operates as an endowment fund, with the capital preserved in perpetuity. The disbursements from the MRFF are expected to eventually reach around $1 billion per annum. These disbursements must be guided by the Australian Medical Research and Innovation Strategy and Priorities, which are being developed by the Australian Medical Research Advisory Board.",NaN,.,".",10,1516177
197,"Health","Medical Research Infrastructure Projects",215,435.8,0,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516178
198,"Health","National Breast Cancer Foundation Cohort Study",0,0,0,0.45,0.55,0.5,0.5,0.5,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,Cancer Australia programme,".",0,1516179
199,"Health","National Cancer Plan - Boost Cancer Research",0,0,0,5,5.157,4.985,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,Cancer Australia programme,".",0,1516180
200,"Health","National Centre for Immunisation Research and Surveillance",0.33,0.33,0.33,0.725,0.725,0.752,0.77,0.79,0.81,0.842,0.902,0.965,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Research conducted by the National Centre for Immunisation Research and Surveillance continues to support improvement of Australia's National Immunisation Program.",NaN,.,".",0.863,1516181
201,"Health","National Health Survey",0,0,0,0,0,0,0,1.496,1.534,1.56,1.605,1.6,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"This survey collects demographic data and health indicators.",NaN,.,".",1.605,1516182
202,"Health","Palliative Care Clinical Studies Collaborative 2011-2014",0,2.609,2.75,2.32,2.205,2.425,2.222,2.475,2.34,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516183
203,"Health","Pandemic Vaccine Accelerated Development",1.972,2.465,2.507,0,0,0,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516184
204,"Health","Pharmacy Trial Program",0,0,0,0,0,0,0,0,0,0,0,20,Active,Competitive/Targeted,"07. Health",Multi-sector (Other Health),Annual,"The Pharmacy Trial Program will trial new and expanded Community Pharmacy Programmes which seek to improve clinical outcomes for consumers and/or extend the role of pharmacists in the delivery of primary healthcare services through community pharmacy.",NaN,.,".",0,1617016
205,"Health","Primary Care Policy, Innovation and Research",14.648,14.215,16.385,14.556,16.471,14.422,14.74,0.12,0.09,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516185
206,"Health","Primary Health Care Research Evaluation and Development - Australian Primary Health Care Research Institute",0,0,0,0,0,0,7.418,11.1,10.282,6.77272727,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516186
207,"Health","Primary Health Care Research Evaluation and Development - Primary Health Care Research and Information Service",0,0,0,0,0,0,1.864,1.773,1.364,1.364,0.6,0.5,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"The Primary Health Care Research and Information Service is a national primary health care organisation based at Flinders University in South Australia.  Its focus is on increasing the exchange of information and knowledge about Australian primary health care research, evaluation and development.",NaN,.,".",0,1516187
208,"Health","Priority-driven Collaborative Cancer Research Scheme",3,5.084,5.673,5.879,4.43,4.419,4.404,4.5,4.91,4.79,4.79,4.9,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"The Priority-driven Collaborative Cancer Research Scheme (PdCCRS) is Cancer Australia's national research grant scheme which funds cancer research in identified priority areas. Cancer Australia administers this national grant scheme and partners with other funders of cancer research to co-fund grants in shared priority areas.",NaN,Cancer Australia programme,".",4.79,1516188
209,"Health","Research for Australian Dietary Guidelines",0,0,0,0,0,0,0,0.066,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516189
210,"Health","Review of the Australian Radiation Protection and Nuclear Safety Act 1998 ",0,0,0,0,0,0,0.227,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516190
211,"Health","Support for Cancer Clinical Trials",0,5.105,5.212,5.429,5.538,5.526,5.405,5.56,5.911,6.97,6.97,7,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Cancer Australia supports cancer clinical trials in Australia by supporting the 13 National Cancer Trials Groups to develop industry-independent cancer clinical trials protocols and the provision of National Technical Services to assist the National Cancer Trials Groups to develop cancer clinical trials protocols.",NaN,Cancer Australia programme,".",6.97,1516191
212,"Health","Support for Diabetes Research",4.89,6.832,6.016,9.794,4.364,0,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other Health),Annual,".",NaN,.,".",0,1516192
213,"Health","Three dedicated Prostate Cancer Research Centres (two centres funded from 2008-09 and a third from 2013-14)",0,0,0,3,2,1,5,4,3.8,4.6,4.7,4.7,Active,Targeted,"07. Health",Multi-sector (Other Health),Annual,"Funding from 2008-2013 was allocated to two Australian Prostate Cancer Research Centres (APCRCs) in Victoria and Queensland. From 2013-2014, additional funding has been allocated to continue support for these centres plus an additional centre in NSW. The aim of the centres is to coordinate research more effectively and develop improved diagnostic tests (including techniques to differentiate between aggressive and non-aggressive cancers), and treatments for prostate cancer.",NaN,.,".",4.7,1516193
214,"Health","Health and Hospitals Fund",0,0,0,46,24.3,99.7,194.001,37.605,28.695,0,0,0,. . . . .,. . . . .,"07. Health",Multi-sector (Other Health),Special,".",NaN,.,".",0,1516169
215,"Health","Review of the 2006 Nutrient Reference Values for Australia and New Zealand",0,0,0,0,0,0,0,0.158,0.232,0.176,0,0.22,Active,Targeted,"07. Health",Multi-sector (Other Health),Special,"The Department of Health, with the New Zealand Ministry for Health, is currently undertaking a partial review of Nutrient Reference Values (NRVs) for fluoride, sodium and iodine. A methodological framework to guide the review of NRVs was developed in mid 2015 and the partial review of the three nutrients is piloting the methodological framework.",NaN,.,".",0,1617017
216,"Health","Review of the Mandatory Fortification of Bread",0,0,0,0,0,0,0,0,0.116,0.112324,0.0696,0.106146,Active,Targeted,"07. Health",Multi-sector (Other Health),Special,"The Review aims to ascertain whether the policy objectives of mandatory folic acid fortification of wheat flour for bread making, and mandatory iodine fortification of bread have been met. The policy objectives were to reduce the incidence of neural tube defects (serious birth defects) in the Australian population by increasing the folic acid intakes of women of child-bearing age, and to address the re-emergence of iodine deficiency in the general population of Australia and New Zealand.",NaN,.,".",0,1617018
217,"Human Services","Human Services Delivery Research Alliance",0,0,0,0,2,2,2,2,1.32,0,0,0,. . . . .,. . . . .,"11. Political and social systems, structures and processes",Aust. Govt. (Other R&D),Annual,".",NaN,.,".",0,1516194
218,"Human Services","Service Delivery Reform Research",0,0,0,0,0,0.039,0.154,0,0,0,0,0,. . . . .,. . . . .,"11. Political and social systems, structures and processes",Aust. Govt. (Other R&D),Annual,".",NaN,.,".",0,1516195
219,"Industry, Innovation and Science","Commonwealth Scientific and Industrial Research Organisation (CSIRO)",593.9,610.1,663.1,675.79,714.804,730.315,724.939,733.817,778.177,745.3,750.21,787.267,Active,Targeted,"00. Multiple categories",Aust. Govt. (CSIRO),Annual,"CSIRO’s distinct role is to deliver great science and innovative solutions for industry, society and the environment and to make a profound and positive impact for the future of Australia and humanity as a large-scale mission directed, multi-disciplinary science and technology organization. Its Research Business Units and Programs are the key mechanism for achieving outcomes aligned with the Australian Government’s Science and Research Priorities, and concentrates on strategic research, knowledge and technology transfer with the potential to deliver major long term social, economic and environmental benefits to Australia, by working with government, industry and others in the innovation system to support existing industries and create new ones.",NaN,.,"National Innovation and Science Agenda (CSIRO Innovation Fund, and funding for Data61)",749.681,1516196
220,"Industry, Innovation and Science","Australian Institute of Marine Science (AIMS)",23.125,24.47,26.63,27.626,30.413,30.883,31.245,31.484,33.28,38.796,40.483,41.552,Active,Targeted,"00. Multiple categories",Aust. Govt. (Other R&D),Annual,"As Australia's tropical marine science agency, AIM's mission is to conduct innovative, world class scientific and technological research to support sustainable growth in the use and effective environmental management and protection of Australia's tropical marine estate.",NaN,.,".",40.483,1516197
221,"Industry, Innovation and Science","Australian Nuclear Science & Technology Organisation (ANSTO)",166.855,141.578,185.714,174.715,175.24,179.692,165.076,229.105,211.136,253.853,192.616,212.175,Active,Targeted,"00. Multiple categories",Aust. Govt. (Other R&D),Annual,"ANSTO delivers world-class research outcomes through world-class nuclear science and technology, and provides advice to government and specialised products – particularly nuclear medicine – and services to meet the needs of the Australian people and industries.
Through consistent and effective collaboration and partnership with government and the industry and research sectors, ANSTO responds to our nation’s research priorities and the rapidly changing world around us.
ANSTO’s research infrastructure includes the OPAL reactor, the Australian Synchrotron and other facilities which provide industry and Australian and overseas researchers with critical locally available facilities and effective global connections for innovation and industry engagement.",NaN,.,".",192.616,1516198
222,"Industry, Innovation and Science","Geoscience Australia",107.4,125.4,145,139.032,130.562,116.201,111.396,113.158,131.159,126.805,121.258,139.668,Active,Targeted,"00. Multiple categories",Aust. Govt. (Other R&D),Annual,"Geoscience Australia is Australia’s pre-eminent public sector geoscience organisation and the nation’s trusted advisor on the geology and geography of Australia. Geoscience Australia applies science and technology to describe and understand the Earth for the benefit of Australia. It also applies its diverse professional expertise, deep and trusted knowledge, national-scale Earth observation infrastructure and strong partnerships to the opportunities and challenges that face the nation.",NaN,.,".",121.258,1516199
223,"Industry, Innovation and Science","Australian Astronomical Observatory (AAO)",4.594,4.699,4.793,4.916,9.037,10.44,10.254,11.204,11.02,11.792,11.866,12.042,Active,Targeted,"03. Exploration and exploitation of space",Aust. Govt. (Other R&D),Annual,"The Australian Astronomical Observatory, a division of the Department of Industry, Innovation and Science, operates the Anglo-Australian and UK Schmidt telescopes on behalf of the astronomical community of Australia. It provides world-class optical and infrared observing facilities enabling Australian astronomers to do excellent science. The AAO is a world leader in astronomical research and in the development of innovative telescope instrumentation. It also takes a leading role in the formulation of long-term plans for astronomy in Australia",NaN,.,".",11.866,1516200
224,"Industry, Innovation and Science","National Measurement Institute (NMI)",8,8,8.5,8.5,9,9.5,9.5,9.5,7.5,7.5,7.5,7.5,Active,Targeted,"06. Industrial production and technology",Aust. Govt. (Other R&D),Annual,"NMI undertakes: fundamental research to maintain Australia's peak measurement standards; collaborations and applied R&D with industry, government and academic researchers to support the development of innovative products and services; and disseminates the best practice use of science-based measurement approaches across the economy, promoting competitiveness and productivity.   ",NaN,.,".",7.5,1516201
225,"Industry, Innovation and Science","Innovation and Science Australia (ISA) Board",0,0,0,0,0,0,0,0,0,0,0,0.177,Active,Targeted,"11. Political and social systems, structures and processes",Aust. Govt. (Other R&D),Annual,"Research related to ISA’s performance audit of the science, research and innovation system",NaN,.,"National Innovation and Science Agenda",0,1617019
226,"Industry, Innovation and Science","Building Information Technology Strengths – Advanced Networks program",7,5,0,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"04. Transport, telecommunications and other infrastructures",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516202
227,"Industry, Innovation and Science","Building Information Technology Strengths – Incubators",10.6,5,3.5,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"04. Transport, telecommunications and other infrastructures",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516203
228,"Industry, Innovation and Science","Establishment of an ICT-enabled Research Laboratory - Commonwealth Assistance",0,0,0,0,0,0.66,2.313,4.052,5.555,6.7,2.72,0,. . . . .,Targeted,"04. Transport, telecommunications and other infrastructures",Business (Innovation and Other R&D),Annual,".",NaN,.,".",2.72,1516204
229,"Industry, Innovation and Science","Information Technology Online (ITOL)",2.2,1.3,0,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"04. Transport, telecommunications and other infrastructures",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516205
230,"Industry, Innovation and Science","Automotive Competitiveness Investment Scheme ",145.7,168.9,178.4,202.4,233.766,141.698,0,0,0,0,0,0,. . . . .,. . . . .,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516206
231,"Industry, Innovation and Science","Automotive Transformation Scheme",0,0,0,0,0,107.26,197.159,170.244,179.919,166.397,132.36,92.976,Active,Entitlement,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"The Automotive Transformation Scheme (ATS) commenced on 1 January 2011 and will run until 31 December 2020. It aims to encourage competitive investment, innovation and economic sustainability in the Australian automotive industry.",NaN,.,".",152.64,1516207
232,"Industry, Innovation and Science","Clean Business Australia - Climate Ready Program",0,0,0,15.913,37.57,14.566,8.027,0,0,0,0,0,. . . . .,. . . . .,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516208
233,"Industry, Innovation and Science","Clean Technology Innovation Programme",0,0,0,0,0,0,0,2.378,19.802,6.925,1.747,0.375,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"The Clean Technology Innovation Program supports businesses to develop new products, processes and services in the areas of clean energy, low-emission technology and other energy-efficient technologies. The final round of applications closed on 22 October 2013.",NaN,.,".",1.747,1516209
234,"Industry, Innovation and Science","Commercial Ready Program",163.4,172.1,185.961,132.29,41.33,4.11,0.9,0,0,0,0,0,. . . . .,. . . . .,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516210
235,"Industry, Innovation and Science","Commercialisation Australia",0,0,0,0,2.296,23.465,51.035,63.923,65.781,38.744,7,1.1,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",6.958,1516211
236,"Industry, Innovation and Science","Commercialising Emerging Technologies (COMET) ",8.4,9.736,14,13.5,11.2,6.1,0,0,0,0,0,0,. . . . .,. . . . .,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516212
237,"Industry, Innovation and Science","Competitive Pre-Seed Fund",12.494,8.818,7.565,6.876,5.459,3.718,2.853,0.925,-0.10073322,0.178,3.06,0,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516213
238,"Industry, Innovation and Science","Enterprise Connect - Researchers in Business",0,0,0.201,0.261,0.991,1.061,1.118,1.705,4.263,1.513,0.273,0,. . . . .,Entitlement,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0.55,1516214
239,"Industry, Innovation and Science","Entrepreneurs' Programme - Accelerating Commercialisation",0,0,0,0,0,0,0,0,0,2.881,27.2,28.433,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"Accelerating Commercialisation provides expert guidance, connections and financial support to assist small and medium businesses, entrepreneurs and researchers to find the right commercialisation solutions for their novel product, process or service. This may include a matching funding grant of up to $1 million to support commercialisation activities.",NaN,.,".",35.6,1516215
240,"Industry, Innovation and Science","Entrepreneurs' Programme - Innovation Connections",0,0,0,0,0,0,0,0,0,0.112,2.865,6.72,Active,Entitlement,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"Innovation Connections is a facilitation service providing expert advice and solution pathways on knowledge-related issues, and a brokering service to connect businesses with appropriate knowledge providers and research organisations. This may include a co-funded grant of up to $50,000 that assists direct access to research capability.",NaN,.,"National Innovation and Science Agenda",2.75,1516216
241,"Industry, Innovation and Science","Green Car Innovation Fund",0,0,0,0,108.14,62.9,125.442,47.362,5.95,0.135,0,0,. . . . .,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516217
242,"Industry, Innovation and Science","Industry Cooperative Innovation Program",1.921,3.7,4.526,5.225,4.21,1.4,0,0,0,0,0,0,. . . . .,. . . . .,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516218
243,"Industry, Innovation and Science","Industry Growth Centres Initiative- Commercialisation Fund",0,0,0,0,0,0,0,0,0,1,12,20,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"The portion of the Industry Growth Centres that is reflected here is the allocation provided to Accelerating Commercialisation (part of the Entrepreneurs' Programme).",NaN,.,".",12,1516219
244,"Industry, Innovation and Science","Industry Growth centres Initiative- Project Fund",0,0,0,0,0,0,0,0,0,0,3.5,8,Active,Competitive,"06. Industrial production and technology",Business (Innovation and Other R&D),Annual,"Industry Growth Centres are provided with funding to support individual projects that are submitted to them by their own stakeholders. Funds support a range of individual projects, including Commercialisation activities and for R&D.",NaN,.,".",7,1516220
